collected_date,reported_date,current_schools_w_cases,current_schools_closed,current_total_number_schools,new_total_school_related_cases,new_school_related_student_cases,new_school_related_staff_cases,new_school_related_unspecified_cases,recent_total_school_related_cases,recent_school_related_student_cases,recent_school_related_staff_cases,recent_school_related_unspecified_cases,past_total_school_related_cases,past_school_related_student_cases,past_school_related_staff_cases,past_school_related_unspecified_cases,cumulative_school_related_cases,cumulative_school_related_student_cases,cumulative_school_related_staff_cases,cumulative_school_related_unspecified_cases,Unnamed: 21
2020-09-10,2020-09-11,13,0,4828,0,0,0,,,,,,,,,,13,4,9,,
2020-09-11,2020-09-14,15,0,4828,2,1,1,,,,,,,,,,15,5,10,,
2020-09-14,2020-09-15,27,0,4828,14,4,4,6.0,,,,,,,,,29,9,14,6.0,
2020-09-15,2020-09-16,35,0,4828,12,6,4,2.0,,,,,,,,,41,15,18,8.0,
2020-09-16,2020-09-17,51,1,4828,21,5,4,12.0,,,,,,,,,62,20,22,20.0,
2020-09-17,2020-09-18,60,1,4828,11,5,0,6.0,,,,,,,,,72,25,22,25.0,
2020-09-18,2020-09-21,75,1,4828,18,8,4,6.0,,,,,,,,,90,33,26,31.0,
2020-09-21,2020-09-22,116,2,4828,51,26,7,18.0,,,,,,,,,141,59,33,49.0,
2020-09-22,2020-09-23,153,2,4828,42,21,5,16.0,,,,,,,,,180,77,38,65.0,
2020-09-23,2020-09-24,178,2,4828,31,24,3,4.0,,,,,,,,,210,101,40,69.0,
2020-09-24,2020-09-25,198,2,4828,29,10,10,9.0,,,,,,,,,238,110,50,78.0,
2020-09-25,2020-09-28,224,1,4828,36,27,3,6.0,,,,,,,,,272,137,52,83.0,
2020-09-28,2020-09-29,249,1,4828,63,37,7,19.0,,,,,,,,,307,164,44,99.0,
2020-09-29,2020-09-30,282,3,4828,52,32,8,12.0,,,,,,,,,342,188,48,106.0,
2020-09-30,2020-10-01,306,3,4828,64,29,14,21.0,386.0,212.0,59.0,115.0,61.0,21.0,23.0,17.0,447,233,82,132.0,
2020-10-01,2020-10-02,318,3,4828,36,29,2,5.0,411.0,236.0,61.0,114.0,72.0,26.0,23.0,23.0,483,262,84,137.0,
2020-10-02,2020-10-05,335,3,4828,56,31,8,17.0,449.0,259.0,65.0,125.0,90.0,34.0,27.0,29.0,539,293,92,154.0,
2020-10-05,2020-10-06,347,2,4828,74,41,10,23.0,470.0,275.0,66.0,129.0,141.0,58.0,36.0,47.0,611,333,102,177.0,
2020-10-06,2020-10-07,379,2,4828,111,69,15,27.0,541.0,325.0,75.0,141.0,181.0,77.0,42.0,62.0,722,402,117,203.0,
2020-10-07,2020-10-08,415,2,4828,100,51,22,27.0,611.0,352.0,95.0,164.0,211.0,101.0,44.0,66.0,822,453,139,230.0,
